plane_name,nation,rank,battle_rating,max_speed,turn_time,climb_rate,wing_rip_speed,combat_flap_rip_speed,image_url
B-57A,USA,V,8.3,946,58.0,32.0,990,498,https://wiki.warthunder.com/images/thumb/3/36/GarageImage_B-57A.jpg/800px-GarageImage_B-57A.jpg
B-57B,USA,V,8.3,963,55.0,28.5,990,498,https://wiki.warthunder.com/images/thumb/4/40/GarageImage_B-57B.jpg/800px-GarageImage_B-57B.jpg
▃Bf 109 F-4,USA,III,4.0,665,19.0,20.0,790,437,https://wiki.warthunder.com/images/thumb/9/99/GarageImage_Bf_109_F-4_%28USA%29.jpg/800px-GarageImage_Bf_109_F-4_%28USA%29.jpg
BF2C-1,USA,I,1.0,411,13.3,14.2,600,N/A,https://wiki.warthunder.com/images/thumb/9/97/GarageImage_BF2C-1.jpg/800px-GarageImage_BF2C-1.jpg
Bong's P-38J-15,USA,IV,4.3,693,21.5,19.6,790,565,https://wiki.warthunder.com/images/thumb/4/4f/GarageImage_Bong%27s_P-38J-15.jpg/800px-GarageImage_Bong%27s_P-38J-15.jpg
P-47M-1-RE,USA,IV,5.7,760,24.0,15.9,885,498,https://wiki.warthunder.com/images/thumb/5/53/GarageImage_Bostwick%27s_P-47M-1-RE.jpg/800px-GarageImage_Bostwick%27s_P-47M-1-RE.jpg
BTD-1,USA,III,4.0,553,27.0,9.1,885,365,https://wiki.warthunder.com/images/thumb/2/2e/GarageImage_BTD-1.jpg/800px-GarageImage_BTD-1.jpg
F-100D,USA,VI,9.3,"1,433",40.0,105.0,1361,620,https://wiki.warthunder.com/images/thumb/8/82/GarageImage_F-100D.jpg/800px-GarageImage_F-100D.jpg
F-104A,USA,VI,9.3,"2,149",32.0,235.0,"1,527",N/A,https://wiki.warthunder.com/images/thumb/4/40/GarageImage_F-104A.jpg/800px-GarageImage_F-104A.jpg
F-104C,USA,VI,9.3,"2,142",34.0,235.0,"1,527",N/A,https://wiki.warthunder.com/images/thumb/1/12/GarageImage_F-104C.jpg/800px-GarageImage_F-104C.jpg
F-105D,USA,VII,10.0,"2,167",28.0,175.0,"1,575",N/A,https://wiki.warthunder.com/images/thumb/9/97/GarageImage_F-105D.jpg/800px-GarageImage_F-105D.jpg
F-111A,USA,VII,10.3,___,__._,__._,0,___,https://wiki.warthunder.com/images/thumb/e/ed/GarageImage_F-111A.jpg/800px-GarageImage_F-111A.jpg
F-14A Early,USA,VIII,11.7,"2,221",24.0,203.8,"1,555",~5,https://wiki.warthunder.com/images/thumb/0/01/GarageImage_F-14A_Early.jpg/800px-GarageImage_F-14A_Early.jpg
F-14B,USA,VIII,12.0,"2,215",24.0,224.8,"1,555",~5,https://wiki.warthunder.com/images/thumb/b/b5/GarageImage_F-14B.jpg/800px-GarageImage_F-14B.jpg
F-16A,USA,VIII,12.0,"2,156",19.8,305.0,"1,555",-,https://wiki.warthunder.com/images/thumb/8/8b/GarageImage_F-16A.jpg/800px-GarageImage_F-16A.jpg
F-16A ADF,USA,VIII,12.0,"2,146",19.8,295.0,"1,555",N/A,https://wiki.warthunder.com/images/thumb/6/68/GarageImage_F-16A_ADF.jpg/800px-GarageImage_F-16A_ADF.jpg
F-16C,USA,VIII,12.3,"2,170",19.5,300.0,"1,555",-,https://wiki.warthunder.com/images/thumb/9/9c/GarageImage_F-16C.jpg/800px-GarageImage_F-16C.jpg
F-4C Phantom II,USA,VII,10.0,"2,288",26.0,172.0,1458,N/A,https://wiki.warthunder.com/images/thumb/1/1f/GarageImage_F-4C_Phantom_II.jpg/800px-GarageImage_F-4C_Phantom_II.jpg
F-4E Phantom II,USA,VII,11.0,"2,140",26.0,190.0,1458,"1,458",https://wiki.warthunder.com/images/thumb/a/a5/GarageImage_F-4E_Phantom_II.jpg/800px-GarageImage_F-4E_Phantom_II.jpg
F-4J Phantom II,USA,VII,11.3,"2,139",26.0,184.5,1458,-,https://wiki.warthunder.com/images/thumb/1/1c/GarageImage_F-4J_Phantom_II.jpg/800px-GarageImage_F-4J_Phantom_II.jpg
F-4S Phantom II,USA,VII,11.3,"2,140",26.0,185.0,1458,"1,458",https://wiki.warthunder.com/images/thumb/6/69/GarageImage_F-4S_Phantom_II.jpg/800px-GarageImage_F-4S_Phantom_II.jpg
F-5A,USA,VII,10.3,"1,443",27.0,133.6,1458,926,https://wiki.warthunder.com/images/thumb/4/47/GarageImage_F-5A.jpg/800px-GarageImage_F-5A.jpg
F-5C,USA,VII,10.3,"1,443",27.0,133.6,1458,926,https://wiki.warthunder.com/images/thumb/9/9f/GarageImage_F-5C.jpg/800px-GarageImage_F-5C.jpg
F-5E,USA,VII,10.7,"1,777",26.0,149.1,1458,"1,018",https://wiki.warthunder.com/images/thumb/9/9d/GarageImage_F-5E.jpg/800px-GarageImage_F-5E.jpg
F-80A-5,USA,V,7.0,882,23.0,23.6,990,535,https://wiki.warthunder.com/images/thumb/8/87/GarageImage_F-80A-5.jpg/800px-GarageImage_F-80A-5.jpg
F-80C-10,USA,V,7.7,903,24.0,25.2,990,535,https://wiki.warthunder.com/images/thumb/6/60/GarageImage_F-80C-10.jpg/800px-GarageImage_F-80C-10.jpg
F-82E,USA,IV,5.3,742,27.0,18.7,854,650,https://wiki.warthunder.com/images/thumb/e/e3/GarageImage_F-82E.jpg/800px-GarageImage_F-82E.jpg
F-84B-26,USA,V,7.0,948,31.0,22.0,1044.75,527,https://wiki.warthunder.com/images/thumb/a/a5/GarageImage_F-84B-26.jpg/800px-GarageImage_F-84B-26.jpg
F-84F,USA,V,8.3,"1,102",28.0,38.0,1187,533,https://wiki.warthunder.com/images/thumb/0/03/GarageImage_F-84F.jpg/800px-GarageImage_F-84F.jpg
F-84G-21-RE,USA,V,7.7,985,28.0,36.2,1044.75,527,https://wiki.warthunder.com/images/thumb/0/0c/GarageImage_F-84G-21-RE.jpg/800px-GarageImage_F-84G-21-RE.jpg
F-86A-5,USA,V,8.3,"1,093",24.0,38.1,"1,118",590,https://wiki.warthunder.com/images/thumb/d/d3/GarageImage_F-86A-5.jpg/800px-GarageImage_F-86A-5.jpg
F-86F-2,USA,VI,9.0,"1,106",24.0,46.7,"1,170",590,https://wiki.warthunder.com/images/thumb/8/80/GarageImage_F-86F-2.jpg/800px-GarageImage_F-86F-2.jpg
F-86F-25,USA,V,8.7,"1,106",24.0,46.7,"1,170",590,https://wiki.warthunder.com/images/thumb/6/60/GarageImage_F-86F-25.jpg/800px-GarageImage_F-86F-25.jpg
F-86F-35,USA,V,8.7,"1,106",24.0,46.7,"1,170",590,https://wiki.warthunder.com/images/thumb/a/a0/GarageImage_F-86F-35.jpg/800px-GarageImage_F-86F-35.jpg
F-89B,USA,V,7.0,"1,011",28.0,49.4,920,554,https://wiki.warthunder.com/images/thumb/4/43/GarageImage_F-89B.jpg/800px-GarageImage_F-89B.jpg
F-89D,USA,V,7.0,"1,022",33.0,38.9,920,554,https://wiki.warthunder.com/images/thumb/3/33/GarageImage_F-89D.jpg/800px-GarageImage_F-89D.jpg
F-8E,USA,VII,10.3,"2,110",29.0,131.4,"1,555","1,070",https://wiki.warthunder.com/images/thumb/3/3d/GarageImage_F-8E.jpg/800px-GarageImage_F-8E.jpg
F11F-1,USA,VI,9.0,"1,213",35.0,74.0,1458,N/A,https://wiki.warthunder.com/images/thumb/7/7b/GarageImage_F11F-1.jpg/800px-GarageImage_F11F-1.jpg
F2A-1,USA,I,2.0,504,18.2,10.9,761,437,https://wiki.warthunder.com/images/thumb/9/99/GarageImage_F2A-1.jpg/800px-GarageImage_F2A-1.jpg
F2A-3,USA,II,2.3,518,17.6,16.4,761,437,https://wiki.warthunder.com/images/thumb/8/8e/GarageImage_F2A-3.jpg/800px-GarageImage_F2A-3.jpg
F2G-1,USA,IV,6.0,706,21.0,20.0,885,382,https://wiki.warthunder.com/images/thumb/9/94/GarageImage_F2G-1.jpg/800px-GarageImage_F2G-1.jpg
F2H-2,USA,V,7.3,933,26.0,27.4,994,503,https://wiki.warthunder.com/images/thumb/9/9c/GarageImage_F2H-2.jpg/800px-GarageImage_F2H-2.jpg
F3D-1,USA,V,7.0,846,30.0,18.8,932,443,https://wiki.warthunder.com/images/thumb/0/0d/GarageImage_F3D-1.jpg/800px-GarageImage_F3D-1.jpg
F3F-2,USA,I,1.3,425,13.0,15.6,810,N/A,https://wiki.warthunder.com/images/thumb/3/39/GarageImage_F3F-2.jpg/800px-GarageImage_F3F-2.jpg
F3H-2,USA,VI,9.3,"1,163",28.0,72.0,1360,833,https://wiki.warthunder.com/images/thumb/c/c0/GarageImage_F3H-2.jpg/800px-GarageImage_F3H-2.jpg
F4D-1,USA,VI,9.0,"1,145",22.0,122.0,"1,283","1,283",https://wiki.warthunder.com/images/thumb/e/e9/GarageImage_F4D-1.jpg/800px-GarageImage_F4D-1.jpg
F4F-3,USA,II,2.3,518,18.9,15.1,826,420,https://wiki.warthunder.com/images/thumb/f/fa/GarageImage_F4F-3.jpg/800px-GarageImage_F4F-3.jpg
F4F-4,USA,II,3.0,517,19.9,14.0,826,420,https://wiki.warthunder.com/images/thumb/3/39/GarageImage_F4F-4.jpg/800px-GarageImage_F4F-4.jpg
F4U-1A,USA,II,2.7,683,24.0,12.3,885,388,https://wiki.warthunder.com/images/thumb/e/e7/GarageImage_F4U-1A.jpg/800px-GarageImage_F4U-1A.jpg
F4U-1A (USMC),USA,II,3.0,689,21.0,12.3,885,388,https://wiki.warthunder.com/images/thumb/b/b3/GarageImage_F4U-1A_%28USMC%29.jpg/800px-GarageImage_F4U-1A_%28USMC%29.jpg
F4U-1C,USA,IV,4.7,667,22.0,16.4,885,388,https://wiki.warthunder.com/images/thumb/c/c6/GarageImage_F4U-1C.jpg/800px-GarageImage_F4U-1C.jpg
F4U-1D,USA,II,3.0,672,22.0,15.2,885,388,https://wiki.warthunder.com/images/thumb/6/62/GarageImage_F4U-1D.jpg/800px-GarageImage_F4U-1D.jpg
F4U-4,USA,III,4.7,711,20.0,18.5,885,388,https://wiki.warthunder.com/images/thumb/d/d2/GarageImage_F4U-4.jpg/800px-GarageImage_F4U-4.jpg
F4U-4B,USA,IV,5.7,697,20.0,19.0,885,388,https://wiki.warthunder.com/images/thumb/f/ff/GarageImage_F4U-4B.jpg/800px-GarageImage_F4U-4B.jpg
F4U-4B VMF-214,USA,IV,5.7,697,20.0,19.0,885,388,https://wiki.warthunder.com/images/thumb/2/22/GarageImage_F4U-4B_VMF-214.jpg/800px-GarageImage_F4U-4B_VMF-214.jpg
F6F-5,USA,II,3.3,647,20.5,12.6,803,487,https://wiki.warthunder.com/images/thumb/8/80/GarageImage_F6F-5.jpg/800px-GarageImage_F6F-5.jpg
F6F-5N,USA,III,4.3,629,21.0,11.8,803,487,https://wiki.warthunder.com/images/thumb/f/fe/GarageImage_F6F-5N.jpg/800px-GarageImage_F6F-5N.jpg
F7F-1,USA,IV,6.3,688,25.0,25.0,835.14,455,https://wiki.warthunder.com/images/thumb/0/00/GarageImage_F7F-1.jpg/800px-GarageImage_F7F-1.jpg
F7F-3,USA,IV,6.3,708,25.0,25.5,835.14,455,https://wiki.warthunder.com/images/thumb/e/ea/GarageImage_F7F-3.jpg/800px-GarageImage_F7F-3.jpg
F8F-1,USA,III,5.0,708,19.0,25.2,827,616,https://wiki.warthunder.com/images/thumb/7/7d/GarageImage_F8F-1.jpg/800px-GarageImage_F8F-1.jpg
F8F-1B,USA,IV,6.3,708,19.0,24.8,827,616,https://wiki.warthunder.com/images/thumb/7/7d/GarageImage_F8F-1B.jpg/800px-GarageImage_F8F-1B.jpg
F8U-2,USA,VI,10.0,"2,038",28.0,137.0,"1,555","1,070",https://wiki.warthunder.com/images/thumb/e/e5/GarageImage_F8U-2.jpg/800px-GarageImage_F8U-2.jpg
F9F-2,USA,V,8.0,926,27.0,26.5,1000,572,https://wiki.warthunder.com/images/thumb/e/ef/GarageImage_F9F-2.jpg/800px-GarageImage_F9F-2.jpg
F9F-5,USA,V,8.3,972,27.0,24.4,1000,581,https://wiki.warthunder.com/images/thumb/0/07/GarageImage_F9F-5.jpg/800px-GarageImage_F9F-5.jpg
F9F-8,USA,V,8.3,"1,041",32.0,29.1,1127,N/A,https://wiki.warthunder.com/images/thumb/6/64/GarageImage_F9F-8.jpg/800px-GarageImage_F9F-8.jpg
FJ-4B,USA,VI,8.7,"1,090",31.0,35.0,1166,600,https://wiki.warthunder.com/images/thumb/6/69/GarageImage_FJ-4B.jpg/800px-GarageImage_FJ-4B.jpg
FJ-4B VMF-232,USA,VI,8.7,"1,090",31.0,35.0,1166,600,https://wiki.warthunder.com/images/thumb/1/19/GarageImage_FJ-4B_VMF-232.jpg/800px-GarageImage_FJ-4B_VMF-232.jpg
▃Fw 190 A-8,USA,IV,5.0,652,22.8,14.1,912,N/A,https://wiki.warthunder.com/images/thumb/1/13/GarageImage_Fw_190_A-8_%28USA%29.jpg/800px-GarageImage_Fw_190_A-8_%28USA%29.jpg
Galer's F3F-2,USA,I,1.3,425,13.0,15.6,810,N/A,https://wiki.warthunder.com/images/thumb/7/7e/GarageImage_Galer%27s_F3F-2.jpg/800px-GarageImage_Galer%27s_F3F-2.jpg
▃Ki-43-II,USA,II,2.7,558,15.0,15.3,661,416,https://wiki.warthunder.com/images/thumb/5/56/GarageImage_Ki-43-II_%28USA%29.jpg/800px-GarageImage_Ki-43-II_%28USA%29.jpg
▃Ki-61-Ib,USA,II,3.7,587,20.3,11.0,850,292,https://wiki.warthunder.com/images/thumb/c/c5/GarageImage_Ki-61-Ib_%28USA%29.jpg/800px-GarageImage_Ki-61-Ib_%28USA%29.jpg
␠Kingcobra,USA,III,4.0,663,23.0,21.7,887,378,https://wiki.warthunder.com/images/thumb/d/dc/GarageImage_Kingcobra_%28USA%29.jpg/800px-GarageImage_Kingcobra_%28USA%29.jpg
⋠P-47M-1-RE,USA,IV,5.7,760,24.0,15.9,885,498,https://wiki.warthunder.com/images/thumb/7/7d/GarageImage_Lanovski%27s_P-47M-1-RE.jpg/800px-GarageImage_Lanovski%27s_P-47M-1-RE.jpg
OS2U-1,USA,I,1.0,296,33.1,6.8,405,337,https://wiki.warthunder.com/images/thumb/d/de/GarageImage_OS2U-1.jpg/800px-GarageImage_OS2U-1.jpg
OS2U-3,USA,I,1.0,292,33.1,14.1,405,337,https://wiki.warthunder.com/images/thumb/e/e5/GarageImage_OS2U-3.jpg/800px-GarageImage_OS2U-3.jpg
P-26A-33,USA,I,1.0,377,18.0,12.0,508,N/A,https://wiki.warthunder.com/images/thumb/d/d7/GarageImage_P-26A-33.jpg/800px-GarageImage_P-26A-33.jpg
P-26A-34,USA,I,1.0,377,18.0,12.0,508,N/A,https://wiki.warthunder.com/images/thumb/d/d2/GarageImage_P-26A-34.jpg/800px-GarageImage_P-26A-34.jpg
P-26A-34 M2,USA,I,1.0,377,18.0,12.0,508,N/A,https://wiki.warthunder.com/images/thumb/9/96/GarageImage_P-26A-34_M2.jpg/800px-GarageImage_P-26A-34_M2.jpg
P-26B-35,USA,I,1.0,377,18.0,12.0,508,N/A,https://wiki.warthunder.com/images/thumb/c/c4/GarageImage_P-26B-35.jpg/800px-GarageImage_P-26B-35.jpg
P-36A,USA,I,1.3,504,17.3,10.6,681,488,https://wiki.warthunder.com/images/thumb/5/5d/GarageImage_P-36A.jpg/800px-GarageImage_P-36A.jpg
P-36C,USA,I,1.7,501,17.0,10.6,770,488,https://wiki.warthunder.com/images/thumb/2/2b/GarageImage_P-36C.jpg/800px-GarageImage_P-36C.jpg
○P-36C,USA,I,1.7,501,17.0,10.6,770,488,https://wiki.warthunder.com/images/thumb/a/ad/GarageImage_P-36C_%28TheRussianBadger%29.jpg/800px-GarageImage_P-36C_%28TheRussianBadger%29.jpg
P-36G,USA,II,2.7,501,17.0,10.6,770,488,https://wiki.warthunder.com/images/thumb/4/4c/GarageImage_P-36G.jpg/800px-GarageImage_P-36G.jpg
P-38E,USA,II,3.0,635,23.0,13.5,790,565,https://wiki.warthunder.com/images/thumb/d/d8/GarageImage_P-38E.jpg/800px-GarageImage_P-38E.jpg
P-38G-1,USA,II,3.3,660,22.0,18.0,790,565,https://wiki.warthunder.com/images/thumb/4/4a/GarageImage_P-38G-1.jpg/800px-GarageImage_P-38G-1.jpg
P-38J-15,USA,III,4.3,693,21.5,19.6,790,565,https://wiki.warthunder.com/images/thumb/b/b7/GarageImage_P-38J-15.jpg/800px-GarageImage_P-38J-15.jpg
P-38K,USA,IV,5.3,724,20.0,24.0,790,565,https://wiki.warthunder.com/images/thumb/2/2d/GarageImage_P-38K.jpg/800px-GarageImage_P-38K.jpg
P-38L-5-LO,USA,III,4.7,690,22.0,19.3,790,565,https://wiki.warthunder.com/images/thumb/b/b9/GarageImage_P-38L-5-LO.jpg/800px-GarageImage_P-38L-5-LO.jpg
P-39N-0,USA,II,2.7,641,18.0,14.9,886,426,https://wiki.warthunder.com/images/thumb/4/45/GarageImage_P-39N-0.jpg/800px-GarageImage_P-39N-0.jpg
P-39Q-5,USA,II,2.7,602,18.0,14.4,886,426,https://wiki.warthunder.com/images/thumb/e/eb/GarageImage_P-39Q-5.jpg/800px-GarageImage_P-39Q-5.jpg
P-400,USA,II,2.0,576,22.0,9.7,886,400,https://wiki.warthunder.com/images/thumb/d/da/GarageImage_P-400.jpg/800px-GarageImage_P-400.jpg
P-40C,USA,II,2.3,561,19.0,12.0,795,595,https://wiki.warthunder.com/images/thumb/2/25/GarageImage_P-40C.jpg/800px-GarageImage_P-40C.jpg
P-40E-1,USA,II,2.7,560,21.0,10.6,819,595,https://wiki.warthunder.com/images/thumb/e/ed/GarageImage_P-40E-1.jpg/800px-GarageImage_P-40E-1.jpg
P-40E-1 TD,USA,II,2.7,560,21.0,10.6,819,595,https://wiki.warthunder.com/images/thumb/d/de/GarageImage_P-40E-1_TD.jpg/800px-GarageImage_P-40E-1_TD.jpg
P-40F-10,USA,II,2.7,615,20.0,11.2,819,595,https://wiki.warthunder.com/images/thumb/5/55/GarageImage_P-40F-10.jpg/800px-GarageImage_P-40F-10.jpg
P-43A-1,USA,II,2.7,566,19.0,13.6,760,426,https://wiki.warthunder.com/images/thumb/2/20/GarageImage_P-43A-1.jpg/800px-GarageImage_P-43A-1.jpg
P-47D-22-RE,USA,III,3.7,695,25.0,10.0,885,498,https://wiki.warthunder.com/images/thumb/6/6c/GarageImage_P-47D-22-RE.jpg/800px-GarageImage_P-47D-22-RE.jpg
P-47D-25,USA,III,4.3,700,25.0,10.6,885,498,https://wiki.warthunder.com/images/thumb/c/c6/GarageImage_P-47D-25.jpg/800px-GarageImage_P-47D-25.jpg
P-47D-28,USA,III,5.0,714,23.0,14.1,885,498,https://wiki.warthunder.com/images/thumb/4/43/GarageImage_P-47D-28.jpg/800px-GarageImage_P-47D-28.jpg
P-47N-15,USA,III,4.7,750,30.0,14.0,950,495,https://wiki.warthunder.com/images/thumb/b/bf/GarageImage_P-47N-15.jpg/800px-GarageImage_P-47N-15.jpg
P-51,USA,III,3.3,631,20.0,13.1,855,650,https://wiki.warthunder.com/images/thumb/3/36/GarageImage_P-51.jpg/800px-GarageImage_P-51.jpg
P-51A,USA,II,3.0,668,20.0,15.7,855,652,https://wiki.warthunder.com/images/thumb/5/51/GarageImage_P-51A.jpg/800px-GarageImage_P-51A.jpg
P-51C-10,USA,II,3.7,708,21.0,16.2,853,676,https://wiki.warthunder.com/images/thumb/e/e4/GarageImage_P-51C-10.jpg/800px-GarageImage_P-51C-10.jpg
P-51D-10,USA,IV,4.3,710,22.0,18.9,901,644,https://wiki.warthunder.com/images/thumb/9/9a/GarageImage_P-51D-10.jpg/800px-GarageImage_P-51D-10.jpg
P-51D-20-NA,USA,IV,4.3,710,22.0,18.9,901,644,https://wiki.warthunder.com/images/thumb/4/40/GarageImage_P-51D-20-NA.jpg/800px-GarageImage_P-51D-20-NA.jpg
P-51D-30,USA,IV,5.0,721,20.0,22.7,910,644,https://wiki.warthunder.com/images/thumb/c/cd/GarageImage_P-51D-30.jpg/800px-GarageImage_P-51D-30.jpg
P-51D-5,USA,III,4.3,698,23.0,18.0,855,644,https://wiki.warthunder.com/images/thumb/1/1c/GarageImage_P-51D-5.jpg/800px-GarageImage_P-51D-5.jpg
P-51H-5-NA,USA,IV,6.3,776,19.0,18.2,887,651,https://wiki.warthunder.com/images/thumb/9/91/GarageImage_P-51H-5-NA.jpg/800px-GarageImage_P-51H-5-NA.jpg
P-59A,USA,IV,5.7,690,20.0,19.5,845,495,https://wiki.warthunder.com/images/thumb/1/14/GarageImage_P-59A.jpg/800px-GarageImage_P-59A.jpg
P-61A-11,USA,III,3.7,582,30.0,11.2,642,340,https://wiki.warthunder.com/images/thumb/f/f9/GarageImage_P-61A-11.jpg/800px-GarageImage_P-61A-11.jpg
P-61C-1,USA,III,4.0,692,25.0,16.0,726,340,https://wiki.warthunder.com/images/thumb/4/43/GarageImage_P-61C-1.jpg/800px-GarageImage_P-61C-1.jpg
P-63A-10,USA,III,4.0,650,23.0,22.2,887,378,https://wiki.warthunder.com/images/thumb/b/b7/GarageImage_P-63A-10.jpg/800px-GarageImage_P-63A-10.jpg
P-63A-5,USA,III,3.3,640,21.0,19.6,887,378,https://wiki.warthunder.com/images/thumb/4/40/GarageImage_P-63A-5.jpg/800px-GarageImage_P-63A-5.jpg
P-63C-5,USA,III,4.0,663,23.0,21.7,887,378,https://wiki.warthunder.com/images/thumb/3/34/GarageImage_P-63C-5.jpg/800px-GarageImage_P-63C-5.jpg
